ReviewerID,P_interests,O_interests,P_intentions,O_intentions,product_preferences
A0020356UF96ZV361ST,romance drama,"love relationships, abused women",entertainment escapism,social commentary,books
A00463782V7TKAP9EMNL,"Fantasy, LGBTQ, Paranormal, Romance, Mystery","LGBTQ, Romance, Coming-of-age, Self-discovery",Enjoying engaging storylines with emotional depth and romance,"Discovering new authors, exploring different genres and themes",Books with LGBTQ themes and romantic storylines
A0099735VDZ3HDCAAYKL,Romance,"Action, Adventure",Read and Enjoy,Recommend and Wait for Next Book,"Romance Novels, Shifter Stories, Vampire Series"
A01631062UX24GI4LJKF,Romance series and character development,None mentioned,Waiting for the next installment,None mentioned,Romance novels
A0178408Z1TQAM7D75FY,Romance books,"Family stories, Character development","Recommend books, Continue series","Provide feedback, Purchase more books","Short stories, Fiction books"
A101S5PLO0VRHQ,soap operas,romance novels,create engaging stories,evaluate books on their merits,KU reads
A103KWX1QFCG6I,Romance,Various,Read and enjoy a romantic story,Explore different genres and themes,Romance novels
A103M7E0BSFC83,Romance,"Drama, Mystery, Family, Historical",Read and Review,Get a Good Read,"Romantic Fiction, Historical Fiction"
A1098Z3D7ENJ2F,romance stories,"psychological, drama, family and friends",falling in love,"overcoming struggles, personal growth","romance novels, love stories"
A10AWAE0F6CAP1,Romance,"Boston, angsty love stories",Enjoy romance novels,Support authors with authentic Boston settings,Romance novels with angst and complex characters
A10C3068FTNIOC,romance,books,recommend,discover,short reads
A10C4X94VN9IG8,books with actionable tips,nothing specified,recommend the book to others,nothing specified,books
A10DX94ATZQEFG,reading romance novels,"traveling, cooking",writing reviews of books,"trying new restaurants, exploring new places",hardcover books
A10DZ0VS7INN49,Romance,"Action, Drama",Reading,"Exploring, Learning","Series, Romance Novels"
A10ED33F8VY4GU,story line,"characters, science fiction, love story, suspense, intrigue, space",entertainment,"catch up, follow, read, stay caught up","fast, fun, easy to read, science fiction, romance"
A10HLCEE17R6QM,romance,mystery,reading,buying,romance novels
A10IXICTN64ZSV,reading articles,books,make reading easy,enjoy books,books
A10JAUCIGVRW9F,Romance & Relationships,Animals & Australia,Readers looking for a good love story,Fans of mystery & drama,Clean romance & Christmas stories
A10L32RWIY771K,Romance,Hockey,Read to fall in love with the characters,Anticipate the development of the romance,Romance novels
A10PEXB6XAQ5XF,Science Fiction,"Horror, Puzzle Games, Electronics, Western, History, Business, Classic Books","Enjoy a good story, Find a new series to follow","Recommend, Review, Criticize, Discuss","Free, Kindle Singles, Short Stories, Compilation of Works, Puzzle Games"
A10PIB0GJZQHJA,family,Hawaii setting,got the set,was drawn in,book set
A10PO9216M5LK6,romance,hot sex,reading,looking forward,romance books
A10RH00JS3DUX0,reading books,,read,wait for next,ebooks
A10SXQMQBJ2L,romance,music,read,review,romance novels
A10W5M10DGKVYQ,"Romance, BDSM, Alpha Males, Damsels in Distress","College Life, Helping Autistic Kids, BDSM Lifestyle","To find 'The One', to overcome deception and lies, to help others","To graduate from college, to make a difference, to get a job","Box Sets, Novellas, Romance Novels, BDSM Novels"
A10WKHGNMX5VTX,mystery,"romance, relationships",recommend a book,review a series,mystery romance novels
A10WR0ZWDHWYI4,romance,sports,reading,entertainment,"books, e-books, kindle, series"
A10Y597K071WTQ,"romance, adventure, entertainment, suspense, vampires, western background","history, recency times, sex, vampires","enjoy reading, find the next book exciting, laughed and cried","missed book one, have another book with the same characters, wish it was longer","books, series, stories, romance, western background, suspense, vampires"
A1121LU5RSP5CH,hockey,"paranormal romance, shapeshifters",transition between books,"meet new characters, explore new worlds","series, sports romances, new adult romances"
A1141DEY00149Z,reading books,,recommend book,,high quality book
A1168ILANAUMV8,Paranormal romance,"Historical romance, Mystery, Adventure",To enjoy and recommend books,To discuss and share personal preferences,"Paranormal romances, Historical romances, Novellas, Standalone stories, Books with strong female characters, Books with complex plot twists, Books with a mix of heat and suspense"
A116GL1WSBL31P,Romance,"Fantasy, Paranormal, Adventure",Read and Enjoy,Find Love and Happiness,Paranormal Romance Novels
A116K0WNM9HKSX,"Historical Fiction, Romance, Western","Cowboys, Mail Order Brides, Oregon Trail","Read a Sweet, Easy Story","Find a Good Man, Survive Challenges","Historical Fiction, Romance, Western Novels"
A118RTDHC8T1K1,romance books,varied,read books,recommend books,romance novels
A11B4CZH8ZB9QQ,erotica romance alpha males,billionaire stories BDSM love stories,looking for hot reads thrilling stories,reading books with well-developed characters finding new authors,ebooks romance novels
A11CRJ5LQ5SYNY,"Romance, Fantasy, Adventure, Mystery","Science Fiction, Historical Fiction, Time Travel","Read fun stories, Enjoy romance and adventure",Explore science fiction and historical fiction,"Books with romance, adventure, and mystery"
A11FF0H63VFFMX,romance stories,short stories,looking for a good read,reading between the lines,books
A11GG623AD89YT,Romance,Paranormal,Reading Novellas,Reading Paragons,Novellas
A11K5MEUOJKTPS,paranormal romance,"romance, books, series",recommend,"enjoy, read, purchase","paranormal romance, shifter books, series"
A11KZJ5GD1TKC0,Romance,"Fantasy, Fairy Tales, Military, Navy Seals, Cowboys, Fairy Tales, Love Stories, Adult Fiction","Enjoying a Romantic Series, Reading a Sweet Love Story, Falling in Love with Characters","Comparing and Contrasting Different Fairy Tales, Following the Series, Getting Involved in the Characters' Lives","Romance Novels, Adult Fiction, Clean Romance, Steamy Romance, Love Stories"
A11N6H5NZK4PWJ,erotic sex scenes,"romance, hockey, friends to lovers, paranormal ideas","enjoy, entertain","critique, analyze, compare","short stories, free downloads, romance novels"
A11N6ZJPEMVHYJ,romance,books,read,recommend,low-priced books
A11P853U6FIKAM,romance stories,"mystery, ghost stories",enjoyed reading,suggested improvement,"mail order bride romance stories, ghost mysteries, clean content"
A11PLGX6L5KBYD,romance novels,"book series, authors, genres",reading and reviewing,recommending and looking forward to reading more,"romance novels, especially those with strong female leads and happily ever afters."
A11PRSJD8V0R2H,mystery drama fantasy,cat lovers short stories,escape relaxation reading,think analyze solve,mystery novel series
A11QQ830LOZPSJ,Romance,Relationships,Enjoyed entire story,Waiting for sequel,Series books
A11S2QYS4HV6SF,Romance,"Paranormal, Shapeshifters, Romance",Read action-packed romantic stories,Discover new paranormal romance authors and series,"Paranormal romance novels, Shapeshifter romance series, Anthologies"
A11T0SAEGX4ACJ,romance,books,reading,recommending,romance novels
A11TAGIXNN10QJ,"Romance, Fantasy, Erotic Romance, Billionaire Romance, Shifter Romance","BBW stories, Family, Relationships, Marriage, Holiday stories, Rugby romance, Teaching, Rugby","Find a satisfying and interesting story, Enjoy a good romance, Escape reality","Learn dictation skills, Improve writing skills, Enjoy a light-hearted read","Novellas, Short stories, Steamy romance, Fantasy and magic, Humor and wit"
A11TXTVCFT246T,reading,none,purchase,none,books
A11US7VEC93CT6,cook and eat,westerns,read a mature book,recommend a western book,western books
A11VQRVZGD0C8R,romance,"fiction, alpha males, erotic dance, love stories, military romance","read for entertainment, escape reality","emotional connection, character development, story satisfaction","romance novels, m/m romance, romantic suspense, dark romance, erotic romance"
A11ZZ8P70T11V2,:[,:[,:[,:[,book reviews
A121YVXK17C1W3,Romance,"Military, Family, Revenge, Love, Marriage, Holiday, SEALs, Highland, Paranormal","Healing, Finding love, Protecting loved ones, Revenge","Setting aside differences, Admitting feelings, Stepping up, Taking it slow","Romance novels, Historical romance, Contemporary romance, Paranormal romance"
A125AUW6J0LGR8,Paranormal romance,"Shape shifters, dragons",Read and enjoy a story,Read and critique a book,paranormal romance books
A128W553WN84EW,Romance,"Suspense, Mystery, Paranormal, Science Fiction",Enjoy reading,Find out what happens in future books,"Romance, Paranormal, Contemporary, Billionaire, Shifter, Werewolf"
A12CZBKBM4OZMT,Romance,"Biker, Motorcycle Club",Read for entertainment,Discover new authors,E-book
A12DGHTSKZFYLO,romance,,read,,romance stories
A12E0W3IY6RJM,grilling,adventurous cooking,try new recipes,entertain guests,cookbooks
A12E7WMO5NX1Q6,reading,watching movies,entertained,recommend,books
A12ED27FNHD0WY,m/m romance,history,reading reviews,critiquing writing,novels
A12GID1HOOBX8L,"books, fiction, series, mystery, suspense","Safe Haven, Alexa, Eagles, Island, zombies, apocalypse","continue storyline, read series","solve mysteries, explore new worlds","trilogies, series, fiction, mystery, suspense"
A12K5Y2SEANYW0,"sci-fi, mystery, adventure, action","romance, historical events, apocalyptic stories, A.I. & human interaction","enjoy an engaging story, experience thrills and twists","get a mix of factual and possible historical events, have a sense of humor","mystery stories, sci-fi novels, apocalyptic series, historical fiction"
A12LKEM543ILBK,anthologies,collections of short stories,read free zombie anthologies,seek out zombie literature,ebooks
A12NCJPL1Y3AH4,"romance, drama, love","music, television, movies","read, finish series","wait for part 2, continuation","books, novels"
A12O5K3EQ4MC7Z,science fiction,"fantasy, space opera, world building","enjoyed the story, world building, main character development","loved the first book, entertained by the main characters","epic tale, action-packed, engaging characters"
A12OXDSRRPOSPF,books,,recommend,,romance novels
A12RCE3OS1KFG9,Romance stories,"Action, Adventure",Reading short stories,"Following series, Waiting for next installment",Romance books
A12RUNSGFAZFE7,romance,paranormal,find romance,anticipate more,erotica romance novels
A12UMMBY3V99EK,romance,"erotica, sex, books","read, enjoy","discuss, review","romantic, erotic, suspenseful"
A12UX1CNPEAGRP,Romance novels,"Paranormal, hockey, sports, and sex",Read and enjoy romance novels,Discover new authors and books,"Romance novels, erotic romance, paranormal, hockey, sports, and sex"
A134C9GVEU5TQE,Fantasy,"Paranormal, Adventure, Mystery",Entertain,"Inform, Engage","Epic novels, Fantasy series, Mystery novels"
A135NSTCX38DEI,paranormal romance,urban fantasy,recommend series,read next book,"short stories, novellas, quick reads"
A139GUSKBRWPIT,"street lit, young adult","audio books, paranormal/m/m books",to engage readers with gritty and raw stories,to explore new works and styles,"audiobooks, slow-paced storytelling"
A139PS228BXDCX,Character development,Relationship dynamics,Provide a realistic portrayal of emotions and relationships,Explore the complexities of human relationships,Character-driven fiction
A139TFJC84TT4D,romance,"historical fiction, dystopian fantasy, m/m romance, friends-to-lovers, BDSM",to read a romantic story,"to explore different genres, to learn about new worlds, to understand complex characters","young adult novels, historical fiction, romance, m/m romance, fantasy"
A139X5E4RN7SUS,"romance, mystery, drama, love stories","biker, mafia, alpha-male romance, suspense","invest in relationships, read engaging stories","enjoy fast-paced plots, experience intense romance","romance novels, suspense and drama stories, alpha-male fiction"
A13AO3KE1ARWNC,"Romance, erotic reads, mystery, suspense",No specific interests mentioned,"Continue series, read more books",Recommend series to others,"Trilogies, series with complex storylines, romance novels"
